poliza,nombre,sexo,edad,prima_base
POL-0001,Carlos Mendoza,M,58,145.0
POL-0002,Lucía Paredes,F,47,120.0
POL-0003,Andrés Villacís,M,32,85.0
POL-0004,María José Andrade,F,61,160.0
POL-0005,Jorge Cedeño,M,52,130.0
POL-0006,Patricia Salazar,F,55,140.0
POL-0007,Diego Castillo,M,67,175.0
POL-0008,Gabriela Torres,F,29,80.0
POL-0009,Fernando Ruiz,M,44,110.0
POL-0010,Verónica Herrera,F,38,95.0
POL-0011,Ricardo Espinoza,M,71,190.0
POL-0012,Daniela Morán,F,50,125.0
POL-0013,Luis Guerrero,M,40,100.0
POL-0014,Sofía Benítez,F,64,155.0
POL-0015,Martín Zambrano,M,49,115.0
